시도,시군구,지자체,시장명,청년몰점포수
강원,삼척시,강원삼척시,삼척중앙시장,19
강원,속초시,강원속초시,설악로데오상점가,19
강원,원주시,강원원주시,미로예술원주중앙시장(원주중앙시장),17
강원,정선군,강원정선군,정선아리랑시장,10
강원,춘천시,강원춘천시,육림고개 상점가,18
경기,수원시,경기수원시,영동시장,23
경기,평택시,경기평택시,통복시장,12
경남,김해시,경남김해시,김해전통시장(김해동상시장),14
경남,진주시,경남진주시,진주중앙시장,9
경남,진주시,경남진주시,진주중앙지하도상가 에나몰,20
경북,경주시,경북경주시,북부상가시장,12
경북,구미시,경북구미시,선산봉황시장,16
경북,문경시,경북문경시,(유)문경시중앙시장,7
경북,안동시,경북안동시,안동중앙신시장,15
대구,달성군,대구달성군,현풍백년도깨비시장,19
대구,북구,대구북구,산격종합시장,10
대전,중구,대전중구,중앙메가프라자,10
부산,부산진구,부산부산진구,서면시장,14
서울,동대문구,서울동대문구,경동시장,20
서울,서대문구,서울서대문구,이대앞스타트업상점가,12
울산,남구,울산남구,신정평화시장,11
인천,강화군,인천강화군,강화중앙시장,2
인천,중구,인천중구,신포시장,4
전남,여수시,전남여수시,중앙시장,17
전북,군산시,전북군산시,군산공설시장,10
전북,완주군,전북완주군,삼례시장,9
전북,전주시,전북전주시,서부시장상점가(서부시장 통합),6
전북,진안군,전북진안군,진안고원시장,10
제주,제주시,제주제주시,제주중앙로상점가,15
충남,금산군,충남금산군,금산금빛시장(금산시장),12
충남,천안시,충남천안시,천안명동대흥로상점가,11
충북,제천시,충북제천시,제천중앙시장,2
충북,충주시,충북충주시,관아골상가,13