사업명,시장명,지자체,행정동명,60대이상인구,1km_이내_주차장수,1km_이내_CCTV수,축제수,1km_이내_도시공원수,1km_이내_관광지수,배달빈도수,1.5km_이내_대규모점포수,1km_이내_버스정류장수,10~30대인구,1km_이내_대학수,실업률(％),1km_이내_문화시설
문화관광형시장,자양전통시장,서울광진구,자양1동,5477,2,208,2.0,12,4.0,456393.0,12.0,66,9252,16,3.2,26
문화관광형시장,중곡제일전통시장(중곡제일시장),서울광진구,중곡1동,3867,1,244,2.0,7,2.0,456393.0,5.0,102,6643,0,3.2,19
디지털전통시장,중곡제일전통시장(중곡제일시장),서울광진구,중곡1동,3867,1,244,2.0,7,2.0,456393.0,5.0,102,6643,0,3.2,19
문화관광형시장,고척근린시장,서울구로구,고척2동,7925,10,338,1.0,14,1.0,492385.0,14.0,126,8279,6,3.4,4
문화관광형시장,구로시장,서울구로구,구로4동,6375,23,504,1.0,8,0.0,492385.0,10.0,146,6326,0,3.4,8
문화관광형시장,남구로시장,서울구로구,구로2동,8062,22,559,1.0,8,0.0,492385.0,10.0,126,6943,0,3.4,8
디지털전통시장,남문시장,서울금천구,독산3동,7288,24,260,1.0,16,1.0,310413.0,11.0,147,8653,0,4.7,23
문화관광형시장,남문시장,서울금천구,독산3동,7288,24,260,1.0,16,1.0,310413.0,11.0,147,8653,0,4.7,23
문화관광형시장,공릉동도깨비시장,서울노원구,공릉1동,10061,3,429,1.0,22,0.0,608202.0,7.0,143,14118,0,3.7,16
디지털전통시장,방학동도깨비시장,서울도봉구,방학2동,6572,16,0,14.0,17,0.0,382203.0,7.0,117,5540,0,4.6,13
문화관광형시장,방학동도깨비시장,서울도봉구,방학2동,6572,16,0,14.0,17,0.0,382203.0,7.0,117,5540,0,4.6,13
청년몰활성화,경동시장,서울동대문구,제기동,7922,11,182,1.0,10,2.0,451239.0,10.0,114,8911,0,3.2,18
문화관광형시장,남성시장,서울동작구,사당2동,8056,6,607,4.0,13,0.0,503416.0,5.0,107,9801,0,4.8,31
디지털전통시장,성대전통시장,서울동작구,상도3동,6634,6,255,4.0,7,0.0,503416.0,5.0,152,9502,0,4.8,22
문화관광형시장,성대전통시장,서울동작구,상도3동,6634,6,255,4.0,7,0.0,503416.0,5.0,152,9502,0,4.8,22
문화관광형시장,망원시장,서울마포구,망원1동,4735,1,213,2.0,13,2.0,482155.0,7.0,132,7841,0,3.8,13
문화관광형시장,아현시장,서울마포구,아현동,5407,6,255,2.0,21,0.0,482155.0,8.0,122,10663,22,3.8,12
문화관광형시장,영천시장,서울서대문구,천연동,4699,6,141,1.0,16,0.0,399465.0,4.0,127,5508,16,4.3,47
디지털전통시장,포방터시장,서울서대문구,홍은1동,6654,5,128,1.0,8,0.0,399465.0,3.0,91,7237,10,4.3,7
청년몰활성화,뚝도시장,서울성동구,성수2가1동,4564,5,193,1.0,8,1.0,366681.0,6.0,71,5135,0,3.3,12
문화관광형시장,마장축산물시장,서울성동구,마장동,5880,14,244,1.0,10,3.0,366681.0,15.0,99,8832,0,3.3,5
문화관광형시장,돈암시장,서울성북구,삼선동,5644,3,195,0.0,5,0.0,539110.0,10.0,135,9090,9,4.3,21
디지털전통시장,정릉시장,서울성북구,정릉4동,7074,1,185,0.0,10,0.0,539110.0,12.0,116,8030,6,4.3,3
문화관광형시장,정릉시장,서울성북구,정릉4동,7074,1,185,0.0,10,0.0,539110.0,12.0,116,8030,6,4.3,3
디지털전통시장,경창시장,서울양천구,신월2동,5988,14,828,3.0,29,0.0,498253.0,2.0,104,6948,0,3.4,6
문화관광형시장,목사랑시장 (목4동시장),서울양천구,목4동,5159,6,673,3.0,19,0.0,498253.0,14.0,67,9573,0,3.4,6
문화관광형시장,신월1동신영시장,서울양천구,신월1동,6642,16,723,3.0,26,0.0,498253.0,6.0,108,6127,0,3.4,10
문화관광형시장,대림중앙시장,서울영등포구,대림2동,3926,16,927,1.0,13,2.0,487302.0,3.0,139,4232,0,3.7,17
문화관광형시장,용산용문시장,서울용산구,용문동,3134,4,197,1.0,14,15.0,287252.0,21.0,135,4263,0,3.6,40
문화관광형시장,연서시장,서울은평구,불광2동,8801,4,300,1.0,19,0.0,572022.0,10.0,147,9291,0,3.9,13
문화관광형시장,통인시장,서울종로구,청운효자동,2944,3,106,3.0,6,2.0,190353.0,5.0,60,4077,1,3.0,22
문화관광형시장,신중부시장,서울중구,광희동,1585,25,248,1.0,9,6.0,165398.0,31.0,108,2550,18,4.3,148
문화관광형시장,서울중앙시장,서울중구,황학동,2916,10,292,1.0,21,2.0,165398.0,34.0,118,5622,0,4.3,41
문화관광형시장,중랑동부시장(동부골목시장),서울중랑구,상봉2동,4649,6,261,2.0,14,0.0,494623.0,8.0,103,9457,0,4.5,9
디지털전통시장,중랑동부시장(동부골목시장),서울중랑구,상봉2동,4649,6,261,2.0,14,0.0,494623.0,8.0,103,9457,0,4.5,9
디지털전통시장,세종전통시장,세종세종시,조치원읍,11062,29,114,5.0,9,1.0,417437.0,0.0,95,15229,0,1.4,6
문화관광형시장,세종전통시장,세종세종시,조치원읍,11062,29,114,5.0,9,1.0,417437.0,0.0,95,15229,0,1.4,6
문화관광형시장,전의왕의물시장,세종세종시,전의면,2395,1,26,5.0,0,0.0,417437.0,0.0,56,1274,0,1.4,1
디지털전통시장,(주)신정시장,울산남구,신정1동,6249,14,329,9.0,10,0.0,391524.0,5.0,81,5768,0,3.4,12
문화관광형시장,수암상가시장,울산남구,수암동,3636,1,275,9.0,11,0.0,391524.0,6.0,100,5644,0,3.4,11
문화관광형시장,신정상가시장,울산남구,신정1동,6249,13,310,9.0,10,0.0,391524.0,6.0,78,5768,0,3.4,13
문화관광형시장,(주)신정시장,울산남구,신정1동,6249,14,329,9.0,10,0.0,391524.0,5.0,81,5768,0,3.4,12
청년몰활성화,신정평화시장,울산남구,신정2동,5025,10,258,9.0,11,0.0,391524.0,3.0,91,8658,0,3.4,10
문화관광형시장,(주)야음시장,울산남구,야음장생포동,3148,5,205,9.0,4,0.0,391524.0,2.0,61,2271,0,3.4,6
디지털전통시장,울산번개시장,울산남구,야음장생포동,3148,6,159,9.0,3,0.0,391524.0,0.0,41,2271,0,3.4,2
문화관광형시장,울산번개시장,울산남구,야음장생포동,3148,6,159,9.0,3,0.0,391524.0,0.0,41,2271,0,3.4,2
문화관광형시장,남목전통시장,울산동구,남목3동,3206,12,163,8.0,8,0.0,183356.0,1.0,38,3675,0,3.8,2
문화관광형시장,월봉시장,울산동구,전하2동,4769,28,321,8.0,19,0.0,183356.0,3.0,84,6658,0,3.8,1
문화관광형시장,태화종합시장,울산중구,태화동,7489,12,236,10.0,13,0.0,259582.0,4.0,77,10670,0,4.7,9
디지털전통시장,학성새벽시장,울산중구,학성동,4106,10,321,10.0,16,2.0,259582.0,5.0,73,3110,0,4.7,12
디지털전통시장,계산시장,인천계양구,계산1동,5799,45,333,1.0,9,0.0,341026.0,8.0,94,5920,2,4.6,2
문화관광형시장,계산시장,인천계양구,계산1동,5799,45,333,1.0,9,0.0,341026.0,8.0,94,5920,2,4.6,2
문화관광형시장,계양산전통시장,인천계양구,계양2동,9054,20,197,1.0,10,1.0,341026.0,3.0,70,11020,0,4.6,4
문화관광형시장,작전시장,인천계양구,작전2동,5733,34,274,1.0,5,0.0,341026.0,9.0,114,6130,2,4.6,9
문화관광형시장,간석자유시장,인천남동구,간석3동,7687,36,192,2.0,19,0.0,622394.0,6.0,99,8708,0,4.9,2
문화관광형시장,구월시장,인천남동구,구월4동,4673,50,228,2.0,16,1.0,622394.0,8.0,115,4205,0,4.9,1
문화관광형시장,인천모래내전통시장,인천남동구,구월4동,4673,56,249,2.0,18,1.0,622394.0,7.0,124,4205,0,4.9,1
디지털전통시장,석바위시장,인천미추홀구,주안6동,5555,23,346,2.0,7,1.0,506850.0,15.0,85,7441,0,4.8,8
문화관광형시장,석바위시장,인천미추홀구,주안6동,5555,23,346,2.0,7,1.0,506850.0,15.0,85,7441,0,4.8,8
디지털전통시장,신기시장,인천미추홀구,주안7동,4472,17,481,2.0,6,1.0,506850.0,3.0,101,3318,0,4.8,2
문화관광형시장,용현시장,인천미추홀구,용현3동,2879,22,537,2.0,0,1.0,506850.0,4.0,85,2147,0,4.8,8
문화관광형시장,부평깡시장,인천부평구,부평4동,8512,30,225,4.0,6,1.0,582020.0,9.0,194,13926,0,4.8,32
문화관광형시장,부평문화의거리,인천부평구,부평5동,6857,33,218,4.0,3,1.0,582020.0,6.0,185,13274,0,4.8,33
문화관광형시장,부평종합시장,인천부평구,부평4동,8512,30,223,4.0,6,1.0,582020.0,9.0,187,13926,0,4.8,33
문화관광형시장,가좌시장,인천서구,가좌2동,5309,0,189,2.0,11,0.0,602681.0,2.0,70,6468,0,4.8,14
문화관광형시장,인천강남시장,인천서구,석남1동,6486,5,290,2.0,4,0.0,602681.0,2.0,93,6886,0,4.8,13
문화관광형시장,인천축산물시장,인천서구,가좌4동,2983,1,90,2.0,4,0.0,602681.0,3.0,87,3105,0,4.8,1
문화관광형시장,정서진중앙시장,인천서구,가정1동,6838,3,185,2.0,3,0.0,602681.0,2.0,106,13579,0,4.8,14
문화관광형시장,강진읍시장,전남강진군,강진읍,4669,8,7,3.0,2,1.0,45893.0,0.0,2,3682,0,1.2,7
문화관광형시장,곡성기차마을전통시장,전남곡성군,곡성읍,3115,0,137,4.0,3,1.0,38214.0,0.0,10,1883,0,0.9,4
문화관광형시장,광양5일시장,전남광양시,광양읍,12167,0,15,5.0,12,3.0,173384.0,0.0,75,15602,0,2.1,2
문화관광형시장,중마시장,전남광양시,중마동,7356,1,18,5.0,19,2.0,173384.0,2.0,111,23169,0,2.1,1
문화관광형시장,지리산나들이장터,전남구례군,산동면,1615,0,5,8.0,0,0.0,33168.0,0.0,9,432,0,1.7,0
문화관광형시장,나주목사고을시장,전남나주시,금남동,2036,17,0,2.0,6,7.0,145636.0,0.0,17,1089,0,1.4,0
문화관광형시장,자유시장,전남목포시,삼학동,1995,3,63,2.0,7,0.0,283290.0,0.0,62,1654,0,1.6,4
디지털전통시장,청호시장,전남목포시,하당동,2516,6,56,2.0,8,0.0,283290.0,3.0,60,5236,0,1.6,9
문화관광형시장,순천시아랫장(순천아랫장),전남순천시,풍덕동,2938,1,452,34.0,22,1.0,330469.0,4.0,125,1951,0,1.9,0
문화관광형시장,(주)여수수산시장,전남여수시,중앙동,1944,10,74,9.0,5,4.0,337317.0,0.0,91,822,0,1.1,0
문화관광형시장,(주)서시장,전남여수시,서강동,1624,9,94,9.0,5,2.0,337317.0,0.0,79,780,0,1.1,5
청년몰활성화,중앙시장,전남여수시,중앙동,1944,10,90,9.0,4,3.0,337317.0,0.0,95,822,0,1.1,5
문화관광형시장,완도전통시장(구 완도5일시장),전남완도군,완도읍,5962,24,82,2.0,3,1.0,63830.0,0.0,1,4768,0,1.0,1
문화관광형시장,정남진장흥토요시장,전남장흥군,장흥읍,4824,13,232,3.0,3,0.0,49587.0,0.0,0,4238,0,0.6,5
문화관광형시장,화순전통시장(화순읍전통시장),전남화순군,화순읍,11020,7,118,4.0,5,0.0,76159.0,0.0,35,12785,0,2.0,8
문화관광형시장,고창전통시장,전북고창군,고창읍,6398,12,72,7.0,3,0.0,70676.0,0.0,21,6453,0,0.3,9
문화관광형시장,군산공설시장,전북군산시,중앙동,1680,35,318,2.0,4,1.0,335592.0,1.0,48,1068,0,1.9,6
청년몰활성화,군산공설시장,전북군산시,중앙동,1680,35,318,2.0,4,1.0,335592.0,1.0,48,1068,0,1.9,6
문화관광형시장,명산시장,전북군산시,월명동,2363,46,329,2.0,6,1.0,335592.0,0.0,55,1052,1,1.9,7
문화관광형시장,군산신영시장,전북군산시,중앙동,1680,31,271,2.0,2,1.0,335592.0,1.0,42,1068,0,1.9,8
청년몰활성화,김제전통시장,전북김제시,요촌동,3813,0,0,1.0,0,0.0,104235.0,2.0,36,3169,0,1.9,3
문화관광형시장,김제전통시장,전북김제시,요촌동,3813,0,0,1.0,0,0.0,104235.0,2.0,36,3169,0,1.9,3
문화관광형시장,무주시장(반딧불장터),전북무주군,무주읍,3212,17,96,2.0,4,0.0,31545.0,0.0,31,2632,0,0.6,4
문화관광형시장,부안상설시장,전북부안군,부안읍,6690,10,98,1.0,3,0.0,67187.0,0.0,16,6182,0,0.5,5
문화관광형시장,고산미소시장,전북완주군,고산면,2135,2,9,1.0,2,0.0,115792.0,0.0,20,838,0,2.6,0
문화관광형시장,봉동시장,전북완주군,봉동읍,5880,2,9,1.0,2,0.0,115792.0,0.0,25,8406,0,2.6,1
청년몰활성화,삼례시장,전북완주군,삼례읍,5712,4,43,1.0,5,3.0,115792.0,0.0,33,6801,6,2.6,1
문화관광형시장,익산 구시장,전북익산시,인화동,2724,4,109,1.0,10,1.0,358537.0,1.0,40,1789,0,2.3,0
문화관광형시장,익산장(익산북부장),전북익산시,남중동,4719,5,129,1.0,5,0.0,358537.0,1.0,36,2737,0,2.3,0
청년몰활성화,중앙시장,전북익산시,중앙동,1476,7,124,1.0,0,2.0,358537.0,1.0,47,739,1,2.3,1
문화관광형시장,모래내시장(전주),전북전주시,인후2동,3987,3,124,6.0,6,0.0,812538.0,3.0,60,3211,0,2.6,4
문화관광형시장,전주신중앙시장(신중앙시장),전북전주시,중앙동,3369,5,117,6.0,6,6.0,812538.0,6.0,54,3092,0,2.6,39
문화관광형시장,샘고을시장,전북정읍시,시기동,1415,4,79,3.0,1,1.0,138041.0,0.0,31,741,0,1.2,6
문화관광형시장,진안고원시장,전북진안군,진안읍,4024,9,69,6.0,2,0.0,32160.0,2.0,16,2362,0,0.3,5
청년몰활성화,진안고원시장,전북진안군,진안읍,4024,9,69,6.0,2,0.0,32160.0,2.0,16,2362,0,0.3,5
디지털전통시장,서귀포매일올레시장,제주서귀포시,중앙동,1333,21,19,32.0,12,9.0,214462.0,2.0,73,698,0,1.2,7
문화관광형시장,서귀포향토오일시장,제주서귀포시,동홍동,5429,1,0,32.0,0,0.0,214462.0,0.0,18,8028,0,1.2,0
문화관광형시장,세화오일시장,제주제주시,구좌읍,5649,0,1,20.0,3,0.0,574979.0,0.0,18,3697,0,2.4,3
청년몰활성화,중앙로상점가,제주제주시,이도1동,2134,0,19,20.0,6,4.0,574979.0,2.0,63,2708,0,2.4,10
문화관광형시장,중앙로상점가,제주제주시,이도1동,2134,0,19,20.0,6,4.0,574979.0,2.0,63,2708,0,2.4,10
문화관광형시장,제주칠성로상점가(칠성로상점가),제주제주시,일도1동,940,0,17,20.0,5,3.0,574979.0,2.0,53,502,0,2.4,8
문화관광형시장,한림민속오일시장(한림오일시장),제주제주시,한림읍,6846,0,2,20.0,0,0.0,574979.0,0.0,22,5620,0,2.4,1
문화관광형시장,유구시장,충남공주시,유구읍,3967,6,45,9.0,2,0.0,138618.0,0.0,30,1097,0,2.6,0
청년몰활성화,금산금빛시장(금산시장),충남금산군,금산읍,7739,12,131,3.0,4,0.0,69891.0,0.0,0,6332,0,1.3,5
문화관광형시장,금산금빛시장(금산시장),충남금산군,금산읍,7739,12,131,3.0,4,0.0,69891.0,0.0,0,6332,0,1.3,5
디지털전통시장,당진전통시장,충남당진시,당진1동,4741,6,221,14.0,40,0.0,207421.0,2.0,54,12548,0,1.8,3
문화관광형시장,당진전통시장,충남당진시,당진1동,4741,6,221,14.0,40,0.0,207421.0,2.0,54,12548,0,1.8,3
문화관광형시장,보령중앙시장,충남보령시,대천2동,2135,13,152,4.0,23,0.0,127387.0,1.0,1,1808,0,2.1,12
문화관광형시장,보령한내시장,충남보령시,대천1동,4162,32,182,4.0,32,0.0,127387.0,1.0,1,4063,0,2.1,12
문화관광형시장,서산동부전통시장(동부시장),충남서산시,동문2동,2602,58,427,11.0,44,0.0,218425.0,1.0,41,2543,0,1.4,20
문화관광형시장,서천특화시장,충남서천군,서천읍,4756,6,143,8.0,8,0.0,68495.0,0.0,1,3452,0,1.2,0
문화관광형시장,온양온천시장(온양전통시장),충남아산시,온양1동,2276,5,549,5.0,19,0.0,384162.0,5.0,78,3178,0,3.1,7
문화관광형시장,천안중앙시장(구 남산중앙시장),충남천안시,중앙동,2256,13,481,5.0,6,1.0,827368.0,4.0,102,1282,0,2.3,15
디지털전통시장,천안중앙시장(구 남산중앙시장),충남천안시,중앙동,2256,13,481,5.0,6,1.0,827368.0,4.0,102,1282,0,2.3,15
문화관광형시장,안면도수산시장(안면도장터),충남태안군,안면읍,4316,0,57,2.0,3,0.0,84128.0,1.0,0,1366,0,0.9,1
문화관광형시장,태안서부시장,충남태안군,태안읍,9910,3,538,2.0,13,1.0,84128.0,0.0,13,8147,0,0.9,0
문화관광형시장,태안동부시장(태안특산물전통시장),충남태안군,태안읍,9910,3,582,2.0,17,1.0,84128.0,0.0,13,8147,0,0.9,0
문화관광형시장,광천전통시장,충남홍성군,광천읍,4452,0,48,6.0,4,0.0,129705.0,0.0,2,1331,0,1.4,2
문화관광형시장,괴산전통시장,충북괴산군,괴산읍,3255,9,114,12.0,2,0.0,54763.0,0.0,16,2656,6,2.0,4
문화관광형시장,청천전통시장,충북괴산군,청천면,3144,1,16,12.0,2,0.0,54763.0,0.0,6,580,0,2.0,0
문화관광형시장,단양구경시장(단양인정시장),충북단양군,단양읍,3659,3,34,2.0,6,2.0,38483.0,0.0,25,2676,0,1.3,3
디지털전통시장,단양구경시장(단양인정시장),충북단양군,단양읍,3659,3,34,2.0,6,2.0,38483.0,0.0,25,2676,0,1.3,3
문화관광형시장,결초보은시장(구 보은종합시장),충북보은군,보은읍,5689,10,66,3.0,5,0.0,43037.0,0.0,32,3634,0,0.5,3
문화관광형시장,무극시장,충북음성군,금왕읍,5871,3,325,4.0,7,0.0,121134.0,0.0,17,5615,0,2.7,0
문화관광형시장,음성시장,충북음성군,음성읍,6506,6,299,4.0,4,0.0,121134.0,0.0,6,4174,0,2.7,4
문화관광형시장,내토전통시장,충북제천시,중앙동,2379,19,184,2.0,7,1.0,179169.0,3.0,78,1365,0,1.1,5
문화관광형시장,제천중앙시장,충북제천시,중앙동,2379,19,189,2.0,9,1.0,179169.0,3.0,82,1365,0,1.1,5
문화관광형시장,동문전통시장,충북제천시,중앙동,2379,18,184,2.0,9,1.0,179169.0,3.0,71,1365,0,1.1,9
문화관광형시장,증평장뜰재래시장,충북증평군,증평읍,9690,27,363,3.0,8,0.0,47283.0,1.0,23,11969,0,2.0,3
문화관광형시장,운수대통! 생거진천전통시장,충북진천군,진천읍,8151,3,94,3.0,2,0.0,104435.0,1.0,35,9784,0,2.7,0
문화관광형시장,진천중앙시장,충북진천군,진천읍,8151,3,131,3.0,2,0.0,104435.0,1.0,53,9784,0,2.7,8
문화관광형시장,가경터미널시장,충북청주시,가경동,10748,0,0,4.0,10,1.0,1045479.0,4.0,89,20375,0,2.5,13
문화관광형시장,밤고개자연시장(구 내덕자연시장),충북청주시,내덕2동,3777,0,0,4.0,7,0.0,1045479.0,4.0,85,4630,0,2.5,13
문화관광형시장,복대가경시장,충북청주시,복대2동,4568,0,0,4.0,14,0.0,1045479.0,3.0,60,6311,0,2.5,4
문화관광형시장,청주사창시장,충북청주시,사창동,4005,0,0,4.0,12,0.0,1045479.0,4.0,67,6327,13,2.5,5
문화관광형시장,서문시장,충북청주시,성안동,2679,0,0,4.0,12,1.0,1045479.0,4.0,79,1892,0,2.5,30
문화관광형시장,원마루시장,충북청주시,분평동,5974,0,0,4.0,11,0.0,1045479.0,4.0,60,10658,0,2.5,11
문화관광형시장,직지시장,충북청주시,봉명2.송정동,4651,0,0,4.0,13,0.0,1045479.0,2.0,40,9826,0,2.5,9
문화관광형시장,북부시장,충북청주시,우암동,4173,0,0,4.0,11,0.0,1045479.0,3.0,75,4404,0,2.5,6
문화관광형시장,충주옹달샘시장,충북충주시,지현동,1934,2,164,2.0,5,0.0,279381.0,2.0,74,1408,0,1.8,11
문화관광형시장,중앙어울림시장,충북충주시,성내.충인동,1158,2,226,2.0,8,0.0,279381.0,2.0,79,566,0,1.8,10
