구분,조사품목(32개),규격 및 단위(기본 규격),중구 구역전시장 현실가격,중구 홈플러스 현실가격,남구 야음시장 현실규격,남구 야음시장 현실가격,남구 야음시장 환산가격,남구 이마트 현실규격,남구 이마트 현실가격,남구 이마트 환산가격,남구 신정시장 현실규격,남구 신정시장 현실가격,남구 신정시장 환산가격,남구 롯데마트 현실규격,남구 롯데마트 현실가격,남구 롯데마트 환산가격,남구 수암시장 현실규격,남구 수암시장 현실가격,남구 수암시장 환산가격,남구 홈플러스 현실규격,남구 홈플러스 현실가격,남구 홈플러스 환산가격,동구 대송농수산물시장현실규격,동구 대송농수산물시장현실가격,동구 대송농수산물시장환산가격,동구 홈플러스 현실규격,동구 홈플러스 현실가격,동구 홈플러스 환산가격,북구호계시장 현실규격,북구호계시장 현실가격,북구호계시장 환산가격,북구 홈플러스 현실규격,북구 홈플러스 현실가격,북구 홈플러스 환산가격,울주군 언양시장 현실규격,울주군 언양시장 현실가격,울주군 언양시장 환산가격,울주군 메가마트 현실규격,울주군 메가마트 현실가격,울주군 메가마트 환산가격
채소,무,잎없는 것_1kg,1500,1800,1kg,2000,2000,1kg,1858,1858,1kg,2000,2000,1kg,1990,1990,1.5kg,2000,1333,1.5kg,3585,2390,1개,2000,2000,1개(1kg내외),2390,2390,1kg,1500,1500,1kg,2390,2390,1kg,1300,1300,1.76kg,2990,1698
채소,배추,통배추_1kg,2000,6980,1kg,8000,8000,1kg,3580,3580,2kg,8500,4250,2kg,7980,3990,2.5kg,7000,2800,2kg,4090,2045,1통,7000,7000,1통,4990,4990,1kg,3000,3000,2kg,9900,4950,2kg,3000,3000,2kg,5990,2995
채소,파,대파_1kg,3000,3730,1kg,3000,3000,100g,927,9270,300g,1600,5333,100g,995,9950,500g,2250,4500,1kg,6150,6150,1단,2000,2000,1kg,3790,3790,1kg,2500,2500,1kg,3790,3790,1kg,2000,2000,700g,2500,3571
채소,양파,잎없는 것_1kg,2000,2770,1kg,3000,3000,1.8kg,4480,2490,1kg,3800,3800,1.5kg,4800,3200,2kg,7000,3500,3kg,8970,2990,1바구니,3000,3000,1망,4790,4790,1kg,2000,2000,2kg,4490,2245,2kg,4000,4000,1.46kg,3700,2534
채소,콩나물,신선한 것_100g,500,520,100g,1000,1000,100g,621,621,250g,1000,400,360g,1753,487,100g,1000,1000,340g,2590,762,1봉지,1000,500,200g,880,440,500g,2000,400,500g,1100,220,100g,2000,2000,300g,1790,596
채소,상추,잎상추_100g,500,1520,100g,2000,2000,100g,1990,1990,100g,2500,2500,100g,2860,2860,100g,3000,3000,100g,4490,4490,1바구니,2000,1000,100g,4490,4490,150g,1500,1000,180g,4490,2494,100g,1200,1200,150g,3490,2326
채소,오이,길이 25cm_1개,670,990,1개,500,500,2개,3980,1990,3개,3400,2267,4개,6490,1623,3개,3000,1000,3개,6490,2163,3개,2000,670,1봉지(3입),6490,2164,2개(가시오이),3000,1500,3개(가시오이),6490,2163,1개,1000,1000,3개,2990,996
채소,애호박,애호박 500g_1개,1500,2480,1개,1000,1000,1개,1230,1230,1개,1200,1200,1개,2190,2190,1개,1500,1500,1개,1990,1990,1개,1500,1500,1개,1990,1990,2개,3000,1500,1개,1990,1990,1개,1500,1500,360g,1600,2222
채소,감자,신선한 것_1kg,2500,6440,1kg,6000,6000,1kg,3280,3280,100g,400,4000,100g,490,4900,1kg,5000,5000,3kg,14700,4900,1바구니,3000,3000,2kg,6980,3490,2kg,3000,1500,1kg,3490,3490,100g,4000,400,100g,590,5900
채소,고구마,신선한 것_1kg,3330,3930,1kg,7000,7000,1kg,3980,3980,100g,450,4500,100g,499,4990,1kg,5000,5000,2kg,15800,7900,1바구니,5000,5000,1kg,5390,5390,2kg,5000,2500,1Kg,5990,5990,100g,5000,500,100g,590,5900
채소,풋고추,신선한 것_100g,700,1650,1kg,5000,5000,150g,3580,18625,100g,1600,16000,100g,1495,14950,1봉,2000,2000,1봉(150g),3990,3990,1바구니,2000,1000,150g,2990,2990,150g,3000,2000,150g,3990,2660,100g,2300,2300,150g,2490,1660
과일,사과,개당 300g 정도_10개,12500,11430,1개,1500,15000,100g,927,9270,100g,400,12000,100g,444,13317,1개,3200,32000,3kg,14970,12490,10개,20000,20000,1봉지(3kg),18300,18300,3개,5000,16667,15개,26300,17533,300g2개,5000,5000,6개,9900,16500
과일,배,개당 600g 정도_10개,33330,29500,1 개,1900,19000,100g,없음,없음,100g,666,40000,100g,563,33800,1개,4000,40000,2.5kg,12990,60000,1박스(10kg),20000,10000,1박스(5kg),59960,29980,5개,18000,36000,5개,24900,49800,600g3개,15000,15000,4개,12900,32250
과일,포도,흑갈색_1kg,없음,없음,1kg,9000,9000,1kg,11900,11900,100g,850,8500,100g,1590,15900,1kg ,10000,10000,700g,7693,10990,1바구니,10000,10000,1kg,16990,16990,1Kg,10000,10000,700g,13990,19986,적포도1kg,8000,8000,1kg,14900,14900
과일,밀감,개당 100g 정도_10개,12500,11000,800g,8000,10000,100g,922,9220,600g,8000,13333,1.4kg,12900,9214,1kg,10000,10000,800g,6928,8660,1바구니,10000,10000,2kg,9990,9990,없음,,,800g(8개),10990,13738,600g10개,,,1.5kg,12400,8266
과일,수박,8kg 정도_1개,20000,19800,8kg,19000,19000,10kg,22900,18320,4.5kg,22000,22000,4kg,21900,21900,6kg,20000,20000,7kg,20990,17991,5-6kg,25000,25000,4-5kg,19990,9995,8Kg,20000,20000,9Kg,23990,21324,10kg,22000,22000,8kg,29900,29900
과일,딸기,개량종_1kg,없음,없음,500g,없음,없음,500g,없음,없음,100g,재고없음,재고없음,100g,재고없음,재고없음,1kg,재고없음,재고없음,1kg,재고없음,재고없음,1바구니,제품없음,제품없음,1팩(1kg),제품없음,제품없음,없음,,,없음,,,1kg,,,판매하지않음,,
수산물,조기,길이 25cm정도_1마리,5000,6000,5마리,10000,2000,2마리,7980,3990,3마리,10000,3333,3마리,9900,3300,1마리,4000,4000,1마리,3990,3990,2마리,10000,5000,1마리,2990,2990,5마리,30000,6000,1마리,3990,3990,판매하지않음,,,5마리,11800,2360
수산물,갈치,길이 60cm정도_1마리,11000,9440,4마리,10000,2500,3마리,10140,3380,2마리,10000,5000,2마리,9900,4950,1마리,3000,3000,1마리,10800,10800,1마리,3400,3400,1마리,6990,6990,3마리,20000,6667,1마리,5400,5400,1마리,8000,8000,2마리,11800,5900
수산물,명태,냉동 40cm정도_1마리,6000,8800,1마리,4000,4000,1마리,5980,5980,1마리,5000,5000,2마리,7104,3552,1마리,2500,2500,1마리,3990,3990,1마리(러시아),5000,5000,1마리,3990,3990,1마리,5000,5000,1마리,3990,3990,판매하지않음,,,8마리,9900,1237
수산물,물오징어,길이 25cm정도_1마리,5000,3400,1마리,5000,5000,3마리,11940,3980,2마리,10000,5000,4마리,13200,3300,1마리,5000,5000,2마리,5580,2790,2마리,6800,3400,1마리,1490,1490,4마리,10000,2500,1마리,2450,2450,1마리,3000,3000,3마리 ,6000,2000
수산물,마른멸치,소멸_1kg,20000,33000,1kg,20000,20000,500g,11984,23968,1.5kg,45000,30000,500g,15900,31800,1.5kg,36000,24000,400g,16900,42250,1팩(180g),3000,26250,1팩(350g),10970,31330,1.5Kg,32000,21333,500g,16900,33800,소멸1.5kg,27000,27000,400g,11000,27500
축산물,쇠고기(국산),등심 1등급_500g,60000,66330,100g,13000,65000,100g,13880,69400,100g,8500,42500,100g,19800,99000,100g,12000,60000,100g,14690,73450,100g,12500,62500,100g,12690,63450,100g,12790,63950,100g,11750,58750,1등급100g,11000,55000,100g,10800,54000
축산물,쇠고기(수입),등심 1등급_500g,37500,19800,100g,5000,15000,4KG,56000,14000,100g,2500,12500,100g,2980,14900,100g,3500,17500,100g,3500,17500,100g,12000,60000,100g,2950,14750,100g,3890,19450,1kg,29900,14950,판매하지 않음,,,100g,3580,17900
축산물,돼지고기,삼겹살_500g,15000,16950,100g,3000,15000,100g,2680,13400,100g,2480,12400,100g,4980,24900,100g,2700,13500,100g,2590,12950,100g,3000,6000,100g,2590,5180,100g,2280,11400,100g,2590,12950,100g,3000,15000,100g,1980,9900
축산물,닭고기,육계_1kg,6000,8730,1kg,6500,6500,1kg,9980,9980,1kg1마리,6500,6500,1.1kg,9878,8980,1마리,5000,5000,1마리,9990,9990,1마리,4500,4500,1마리,6993,6993,1kg,7000,7000,1kg,6290,6290,1kg,8000,8000,1.05kg,5280,5028
축산물,달걀,특란_10개,4300,5080,10개,4100,4100,10개,3980,3980,10개,4300,4300,10개,4290,4290,10개,4200,4200,10개,3690,3690,30란,7000,7000,10란,2497,2497,30개입,7000,2333,30개입,7990,2663,특 10개,3000,3000,10개,4700,4700
곡물,쌀,정미_포장미_20kg,60000,39800,20kg,63000,63000,20kg,49900,49900,20kg,53800,53800,20kg,49900,49900,20kg,62000,62000,20kg,47900,47900,20Kg,60000,60000,20Kg,47900,47900,20kg,62000,62000,20kg,45900,45900,20kg,70000,70000,20kg,44900,44900
곡물,찹쌀,정미_1kg,4670,2670,1kg,7000,7000,4kg,10800,2700,2kg,11000,5500,4kg,12800,3200,1.6kg,8000,5000,2kg,10520,5260,1Kg,4000,8000,2kg,9990,9990,1kg,4000,4000,2Kg,9990,4995,2kg,8000,4000,1kg,5590,5590
곡물,콩,백태_1kg,10000,12250,1.4kg,12000,8570,500g,5980,11960,1.6kg,15888,9930,500g,8990,17980,1.4kg,14000,10000,500g,6990,13980,500g,4000,8000,500g,6990,13980,1kg,6000,6000,500g,6990,13980,1kg,14000,14000,1kg,11900,11900
조미료,고추가루,중품_100g,3330,3670,600g,15000,25000,1kg,35880,21528,600g,23000,3833,1kg,29800,2980,600g,15000,12500,500g,23800,23800,600g,19200,3200,400g,15900,6360,600g(국산),14000,2333,1kg(국산),23900,2390,100g,2500,2500,300g,13900,4633
조미료,마늘,깐마늘 중품_1kg,10000,11600,1kg,12000,12000,200g,3980,19900,1kg,11500,11500,100g,1597,15970,1kg,12000,12000,1kg,13980,13980,1kg,11000,11000,1kg,13900,13900,1kg,11000,11000,1kg,12900,12900,300g,2000,6000,900g,11900,13222
